lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag14,lag15,lag16,lag17,lag18,lag19,lag20,lag21,lag22,lag23,lag24,lag25,lag26,lag27,lag28,lag29,lag30,lag31,lag32,lag33,lag34,lag35,lag36,lag37,lag38,lag39,lag40
0.027669537,0.026989569,0.02628882,0.025546509,0.024741872,0.023860117,0.02290121,0.021867357,0.020760761,0.019583626,0.018338157,0.017026558,0.015651034,0.014213788,0.012717026,0.011162951,0.009553768,0.007891681,0.006178895,0.004417613,0.002610041,0.000758382,-0.00113516,-0.003068379,-0.005039072,-0.007045034,-0.009084061,-0.011153948,-0.013252492,-0.015377488,-0.017526731,-0.019698018,-0.021889143,-0.024097904,-0.026322094,-0.02855951,-0.030807949,-0.033065204,-0.035329072,-0.037597349,-0.039867831
0.023235013,0.022642027,0.022032231,0.021388815,0.020694983,0.019938769,0.019120148,0.0182409,0.017302811,0.016307662,0.015257237,0.014153319,0.012997691,0.011792136,0.010538437,0.009238378,0.007893742,0.006506311,0.005077868,0.003610198,0.002105082,0.000564304,-0.001010353,-0.002617105,-0.00425417,-0.005919765,-0.007612106,-0.009329411,-0.011069896,-0.012831778,-0.014613274,-0.016412602,-0.018227977,-0.020057617,-0.021899739,-0.023752559,-0.025614295,-0.027483163,-0.029357381,-0.031235165,-0.033114732
0.018726577,0.018231494,0.017723363,0.017189135,0.016615772,0.015993987,0.01532376,0.014606473,0.013843511,0.013036258,0.012186099,0.011294416,0.010362595,0.009392019,0.008384073,0.007340141,0.006261606,0.005149853,0.004006265,0.002832228,0.001629125,0.00039834,-0.000858743,-0.002140739,-0.003446265,-0.004773937,-0.006122369,-0.00749018,-0.008875983,-0.010278395,-0.011696033,-0.013127511,-0.014571446,-0.016026454,-0.017491151,-0.018964152,-0.020444074,-0.021929532,-0.023419142,-0.02491152,-0.026405283
0.014146542,0.013759996,0.013363959,0.01294894,0.012505453,0.012026745,0.011512799,0.010964622,0.010383221,0.009769603,0.009124774,0.008449742,0.007745513,0.007013093,0.00625349,0.005467711,0.004656762,0.00382165,0.002963382,0.002082964,0.001181404,0.000259708,-0.000681117,-0.001640064,-0.002616126,-0.003608297,-0.004615571,-0.005636939,-0.006671395,-0.007717933,-0.008775545,-0.009843226,-0.010919967,-0.012004763,-0.013096607,-0.014194491,-0.015297409,-0.016404354,-0.01751432,-0.018626299,-0.019739285
0.009497224,0.009229563,0.008955768,0.008669704,0.008365242,0.008038017,0.007688017,0.007315895,0.0069223,0.006507883,0.006073295,0.005619187,0.005146209,0.004655012,0.004146246,0.003620563,0.003078612,0.002521045,0.001948513,0.001361666,0.000761154,0.000147628,-0.00047826,-0.001115861,-0.001764523,-0.002423596,-0.003092429,-0.003770372,-0.004456774,-0.005150984,-0.005852351,-0.006560226,-0.007273956,-0.007992892,-0.008716383,-0.009443777,-0.010174426,-0.010907676,-0.011642879,-0.012379384,-0.013116539
0.004780938,0.004642222,0.004500533,0.0043529,0.004196353,0.004028777,0.003850167,0.003660839,0.003461107,0.003251286,0.003031693,0.002802643,0.002564449,0.002317429,0.002061897,0.001798168,0.001526558,0.001247381,0.000960954,0.000667591,0.000367608,6.13E-05,-0.000250959,-0.000568912,-0.000892224,-0.001220581,-0.001553666,-0.001891165,-0.002232762,-0.002578142,-0.00292699,-0.00327899,-0.003633828,-0.003991188,-0.004350755,-0.004712213,-0.005075248,-0.005439543,-0.005804785,-0.006170656,-0.006536843
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.004843276,-0.004695074,-0.004544084,-0.004387522,-0.004222601,-0.00404734,-0.003861732,-0.003666074,-0.003460661,-0.003245789,-0.003021753,-0.00278885,-0.002547374,-0.002297621,-0.002039888,-0.001774469,-0.001501659,-0.001221756,-0.000935054,-0.000641848,-0.000342435,-3.71E-05,0.000273831,0.000590093,0.000911381,0.001237397,0.001567848,0.001902437,0.002240869,0.002582849,0.002928079,0.003276266,0.003627113,0.003980325,0.004335606,0.00469266,0.005051193,0.005410908,0.00577151,0.006132703,0.006494191
-0.009746575,-0.009440971,-0.009129975,-0.008808193,-0.008470237,-0.008112267,-0.007734276,-0.007336835,-0.006920517,-0.006485893,-0.006033535,-0.005564016,-0.005077907,-0.004575781,-0.004058209,-0.003525765,-0.002979019,-0.002418544,-0.001844911,-0.001258694,-0.000660463,-5.08E-05,0.000569749,0.001200586,0.001841148,0.002490863,0.003149159,0.003815463,0.004489205,0.00516981,0.005856709,0.006549327,0.007247095,0.007949438,0.008655786,0.009365566,0.010078207,0.010793136,0.011509781,0.01222757,0.012945931
-0.014707581,-0.014235665,-0.013755927,-0.013260541,-0.012741691,-0.012193809,-0.011616881,-0.011011738,-0.010379209,-0.009720124,-0.009035313,-0.008325606,-0.007591833,-0.006834824,-0.006055408,-0.005254416,-0.004432677,-0.003591021,-0.002730278,-0.001851278,-0.000954851,-4.18E-05,0.000886966,0.001830696,0.002788533,0.003759649,0.004743212,0.005738394,0.006744364,0.007760292,0.008785349,0.009818705,0.010859529,0.011906992,0.012960265,0.014018516,0.015080917,0.016146638,0.017214848,0.018284718,0.019355417
-0.019723979,-0.019077128,-0.018420193,-0.017743093,-0.01703575,-0.01629099,-0.015508794,-0.014690234,-0.013836378,-0.012948295,-0.012027056,-0.011073731,-0.010089387,-0.009075096,-0.008031927,-0.006960949,-0.005863232,-0.004739845,-0.003591858,-0.002420341,-0.001226363,-1.10E-05,0.001224697,0.002479641,0.003752766,0.005043005,0.006349288,0.007670544,0.009005705,0.0103537,0.011713461,0.013083918,0.014464,0.015852639,0.017248765,0.018651308,0.0200592,0.021471369,0.022886747,0.024304264,0.025722851
-0.024793454,-0.02396333,-0.02312103,-0.022254375,-0.021351199,-0.020402836,-0.019409264,-0.018371777,-0.017291665,-0.01617022,-0.015008733,-0.013808498,-0.012570804,-0.011296944,-0.009988209,-0.008645892,-0.007271283,-0.005865674,-0.004430357,-0.002966624,-0.001475767,4.09E-05,0.001582156,0.003146638,0.004733078,0.006340185,0.007966666,0.009611231,0.011272587,0.012949442,0.014640506,0.016344487,0.018060092,0.019786031,0.021521011,0.023263741,0.025012929,0.026767284,0.028525514,0.030286327,0.032048432
-0.029913692,-0.028892245,-0.02785669,-0.026792915,-0.025686823,-0.024528372,-0.023317539,-0.022055819,-0.020744711,-0.019385709,-0.017980312,-0.016530016,-0.015036317,-0.013500712,-0.011924697,-0.01030977,-0.008657427,-0.006969165,-0.005246479,-0.003490868,-0.001703827,0.000113147,0.001958557,0.003830907,0.0057287,0.007650439,0.009594627,0.011559769,0.013544367,0.015546924,0.017565945,0.019599932,0.021647389,0.023706819,0.025776726,0.027855612,0.029941982,0.032034338,0.034131184,0.036231023,0.038332359
-0.035082376,-0.033861845,-0.032625428,-0.03135724,-0.030041407,-0.028666625,-0.027232865,-0.025741814,-0.024195156,-0.022594577,-0.020941762,-0.019238394,-0.017486161,-0.015686746,-0.013841835,-0.011953113,-0.010022264,-0.008050975,-0.006040929,-0.003993812,-0.001911309,0.000204894,0.002353114,0.004531665,0.006738861,0.008973018,0.011232451,0.013515474,0.015820403,0.018145553,0.020489238,0.022849774,0.025225475,0.027614656,0.030015633,0.03242672,0.034846233,0.037272485,0.039703793,0.042138471,0.044574833
-0.040297192,-0.038870101,-0.037425499,-0.035945876,-0.034413737,-0.032816619,-0.031154492,-0.029429214,-0.027642643,-0.025796636,-0.02389305,-0.021933742,-0.019920571,-0.017855393,-0.015740065,-0.013576446,-0.011366392,-0.009111762,-0.006814411,-0.004476198,-0.00209898,0.000315385,0.00276504,0.005248129,0.007762793,0.010307175,0.012879417,0.015477663,0.018100055,0.020744735,0.023409847,0.026093532,0.028793934,0.031509195,0.034237457,0.036976864,0.039725558,0.042481681,0.045243376,0.048008786,0.050776053
-0.045555825,-0.043914985,-0.042255157,-0.040557352,-0.038802598,-0.03697738,-0.035081667,-0.033117473,-0.031086811,-0.028991697,-0.026834145,-0.024616168,-0.02233978,-0.020006996,-0.017619831,-0.015180297,-0.01269041,-0.010152183,-0.007567631,-0.004938767,-0.002267606,0.000443838,0.00319355,0.005979518,0.008799726,0.01165216,0.014534806,0.017445651,0.020382679,0.023343878,0.026327232,0.029330727,0.03235235,0.035390086,0.038441921,0.041505841,0.044579832,0.047661879,0.050749969,0.053842087,0.056936219
